id,domain,section,title,status,effort,risk,priority,quick_win,requirement
TCI-PROD-001,product,§1,Manager-facing team capability platform (product definition),Partial,L,high,P1,no,"Extend the individual companion into a manager-facing platform where a manager can understand, improve, and distribute AI capability across their team, answering six manager questions (team capability level; strong/weak/improving/declining capabilities; who needs coaching; who can mentor; where expertise is concentrated; is spend producing growth)."
TCI-PROD-002,product,§1,Usage is an input; capability is the outcome,Complete,S,low,P1,no,"The product must not reduce team intelligence to activity volume, token consumption, or cost; usage data is an input and capability development is the product outcome."
TCI-PROD-003,product,§2.1,Principle: capability over activity,Complete,S,low,P1,no,"High AI usage must not automatically imply high capability; capability is judged on patterns (context quality, iteration, verification, workflow depth, tool selection, reuse, growth), not volume."
TCI-PROD-004,product,§2.2,"Principle: growth over ranking, no leaderboards",Complete,S,low,P1,no,"Emphasize improvement, readiness, coaching, and strengths rather than employee competition; avoid public leaderboards and simplistic rankings."
TCI-PROD-005,product,§2.3,Principle: explainability over opaque scoring,Complete,S,low,P1,no,"Every capability score must expose contributing signals, confidence level, recent changes, supporting evidence, known data limitations, and a recommended next action; scores never shown without confidence + evidence availability."
TCI-PROD-006,product,§2.4,Principle: coaching over surveillance; no prompt content by default,Complete,S,low,P0,no,"Manager insights should lead to development actions, not punitive monitoring; sensitive prompt content must not be exposed by default."
TCI-PROD-007,product,§2.5,Principle: universal core + role packs across 10+ job functions,Conflicting,XL,high,P3,no,"Revealyst should work across engineering, product, marketing, sales, customer success, operations, finance, HR, design, legal and other knowledge-work teams — a shared universal capability model plus role packs adding domain-specific criteria."
TCI-PROD-008,product,§2.6,Principle: capability and cost remain separate concepts,Complete,S,low,P1,no,"Cost is an operational metric, not evidence of capability; low spend is not inherently good and high spend not inherently bad; cost never enters capability scoring."
TCI-PROD-009,product,§13,MVP: team/workspace structure + manager permissions,Partial,L,medium,P2,no,MVP must-haves include team creation and membership and manager permissions (managers distinct from workspace admins; sub-teams/subgroups within a workspace).
TCI-PROD-010,product,§13,"MVP: manager-facing per-person surfaces (Capability Matrix, Team Members, individual profile, Coaching Center, Skills & Experts)",Conflicting,XL,high,P3,no,"MVP must-haves include a Capability Matrix (members × capabilities), a Team Members roster with per-person capability, a manager-facing individual profile, a Coaching Center where managers assign coaching to individuals, and a Skills & Experts directory naming individuals."
TCI-PROD-011,product,§13,"MVP: aggregate team surfaces (Team Overview, Growth, insight feed, confidence disclosures)",Partial,M,low,P1,no,"MVP must-haves include a Team Overview, a team Growth screen, a manager insight feed, and confidence/data-quality disclosures."
TCI-PROD-012,product,§13,MVP: team + individual cost analytics,Partial,M,medium,P2,no,"MVP must-haves include individual and team cost analytics, with admin-controlled visibility of individual cost to managers."
TCI-PROD-013,product,§13,MVP: manager reports (weekly team brief + monthly capability review),Partial,M,medium,P2,no,"MVP must-haves include weekly and monthly manager reports summarizing changes, risks, coaching priorities, emerging experts, and data-quality issues."
TCI-PROD-014,product,§13,"MVP 'Should Have': mentor matching, concentration risk, campaigns, benchmarks, role packs",Partial,L,medium,P3,no,"Should-haves include mentor matching, knowledge-concentration risk, coaching campaigns, benchmark comparisons, saved views, scheduled reports, and role-specific packs."
TCI-PROD-015,product,§13,"MVP 'Later' bucket alignment (external benchmarks, forecasting, custom frameworks, business-outcome linkage, org-wide)",Complete,S,low,P3,yes,"Defer external benchmarks, capability forecasting, custom capability frameworks, advanced coaching-impact analysis, business-outcome linkage, and organization-wide intelligence to a later phase."
TCI-PROD-016,product,§14,Initial release starts with the Engineering role pack,Complete,S,low,P1,yes,"The first implementation should use one universal framework + the Engineering role pack, because existing data sources are strongest for developer workflows."
TCI-PROD-017,product,§14,Role-agnostic architecture so future packs slot in without redesign,Partial,M,low,P2,no,The architecture and UI must remain role-agnostic so additional role packs can be added without redesigning the team product.
TCI-PROD-018,product,§14,"Initial release avoids ROI/productivity claims, rankings, opaque efficiency scores, invalid benchmarks, causal coaching-impact",Complete,S,low,P1,yes,"The initial release must avoid ROI claims, productivity claims, employee rankings, opaque efficiency scores, external benchmarking without valid comparison data, and automatic coaching-impact causality claims."
TCI-PROD-019,product,§17,Reposition as 'AI Capability Intelligence & Growth Platform' with a manager layer,Partial,S,medium,P2,no,"Position Revealyst as an AI Capability Intelligence and Growth Platform, with Team Intelligence as the manager layer on top of individual growth."
TCI-PROD-020,product,§17,Individual growth = foundation; team = manager layer; cost supports but does not replace capability,Complete,S,low,P1,no,"Individual growth remains the foundation, Team Intelligence is the manager layer, and cost analytics supports operational understanding without replacing capability development as the central value."
TCI-PRIV-001,privacy,§3,Four-role permission model,Partial,L,high,P0,no,"Support four distinct roles — Individual Contributor, Team Manager, Workspace Administrator, Executive/Observer — each with its own data-access scope."
TCI-PRIV-002,privacy,"§3.2, §6.4",Manager sees named per-person capability profile by default,Conflicting,XL,high,P1,no,"A team manager can, by default, open a named team member's individual capability profile (universal + role-pack breakdown, evidence, trend)."
TCI-PRIV-003,privacy,"§3.2, §6.4, §6.12",Manager sees individual (named) cost analytics,Conflicting,L,high,P1,no,"Managers can see per-person monthly cost, model mix, premium-model share, token volume, and efficiency classification for named members."
TCI-PRIV-004,privacy,"§3.2, §6.4, §6.12, §16",Manager notes entity,Missing,L,high,P2,no,"Managers can write private notes on a team member (author, timestamp, optional follow-up date), manager-private, that never affect calculated scores."
TCI-PRIV-005,privacy,"§3.3, §6.12, §10",Admin toggle: individual cost visible to managers,Missing,M,medium,P2,no,Workspace administrators control whether individual cost data is visible to managers.
TCI-PRIV-006,privacy,§6.12,Granular Team Settings visibility toggles,Partial,M,medium,P2,no,"Configure independently: whether members see team aggregates, whether managers see individual cost, whether prompt-level evidence is available, whether mentor recommendations are visible, whether notes are manager-private."
TCI-PRIV-007,privacy,"§6.12, §2.4, §10, §16",Prompt-level evidence availability toggle,Conflicting,S,high,P1,no,Configure whether prompt-level evidence is available; raw prompt content hidden by default.
TCI-PRIV-008,privacy,"§10, §16",Raw prompt content hidden by default,Complete,S,low,P1,no,"Managers see behavioral summaries, not raw private conversations, by default."
TCI-PRIV-009,privacy,"§3.1, §3.2, §7.3","Role-scoped name visibility (managers see names, ICs see pseudonyms)",Conflicting,L,high,P1,no,Real names are visible to managers while individual contributors continue to see pseudonyms / no named peer scores.
TCI-PRIV-010,privacy,§10,Distinguish observed behavior vs score vs inference vs note vs missing data,Partial,M,low,P2,no,"The system clearly distinguishes observed behavior, calculated score, inferred capability, manager-provided note, and incomplete/unavailable data."
TCI-PRIV-011,privacy,§10,Users understand what data contributes to their profile,Complete,S,low,P2,no,Users can see what data contributes to their capability profile.
TCI-PRIV-012,privacy,"§10, §16",Data-confidence disclosure wherever telemetry is incomplete,Complete,S,low,P1,no,Data-confidence disclosures are visible wherever incomplete telemetry materially affects interpretation.
TCI-PRIV-013,privacy,"§10, §16, §14",No implication of performance/productivity/employment quality,Partial,S,medium,P1,no,"The interface must not imply performance, productivity, or employment quality from AI capability, and must avoid ROI/productivity/ranking claims."
TCI-PRIV-014,privacy,"§16, §3.1",Users cannot access unauthorized individual data,Complete,S,low,P0,no,Users cannot access unauthorized individual data; ICs do not see other members' private scores/costs/notes/activity unless permitted; named peer scores hidden by default.
TCI-PRIV-015,privacy,§3.4,Executive/Observer read-only aggregate role,Partial,L,low,P3,no,An optional read-only Executive/Observer role can access aggregate team trends without individual-level evidence or prompt data.
TCI-PRIV-016,privacy,§3.3,Configurable retention & privacy settings,Partial,L,medium,P3,no,Workspace administrators can configure retention and privacy settings.
TCI-PRIV-017,privacy,§3.3,Admin configures permissions & assigns managers,Missing,L,high,P2,no,Workspace administrators can assign managers and configure permissions.
TCI-ARCH-001,architecture,"§9, §6.12",Team entity inside a workspace,Partial,S,low,P0,yes,"A named Team that lives inside a workspace and groups its members, so managers can view and act on one team at a time."
TCI-ARCH-002,architecture,"§3.2, §3.3, §6.12, §9",Manager role and per-team manager assignment,Missing,XL,high,P0,no,"A 'manager' concept — a person/user assigned to manage one or more teams, with elevated access to that team's data — and an admin workflow to assign managers."
TCI-ARCH-003,architecture,"§3.2, §6.4, §6.2",Manager-facing per-member capability view,Conflicting,XL,high,P1,no,"Managers can open any team member's individual capability profile, scores, evidence, and history."
TCI-ARCH-004,architecture,"§3.1, §7.1-7.3",Individual-contributor self-view within a team org,Blocked,M,medium,P1,no,"In a team workspace, each member sees their own capability profile, recommendations, coaching, and permitted team aggregates."
TCI-ARCH-005,architecture,§3.4,Executive / Observer read-only aggregate role,Missing,L,medium,P3,no,"An optional read-only role that sees aggregate team trends only, with no individual-level evidence or prompt data."
TCI-ARCH-006,architecture,"§3.3, §6.12, §6.2",Sub-teams / subgroups (nested team hierarchy),Missing,L,medium,P2,no,"Teams can contain subgroups (squads/locations), and views can group/filter by subgroup."
TCI-ARCH-007,architecture,"§3.3, §6.12",Workspace-admin team management and permission configuration,Partial,L,medium,P1,no,"Workspace admins can create/manage teams, assign managers, configure per-area permissions, enable role packs, and set visibility of cost/prompt evidence."
TCI-ARCH-008,architecture,§5,Team Intelligence top-level nav area (11 sub-items),Conflicting,M,medium,P2,no,"Add a top-level 'Team Intelligence' area with Overview, Capability Matrix, Team Members, Growth, Coaching, Skills & Experts, Costs & Efficiency, Insights, Benchmarks, Reports, Team Settings; hide manager-only items from non-managers."
TCI-ARCH-009,architecture,§5,Manager-only navigation gating,Partial,S,low,P1,yes,Users without manager/admin permission must not see manager-only nav items.
TCI-ARCH-010,architecture,§9,"Team entity data shape (managerIds, memberIds, rolePackIds, settings)",Partial,L,medium,P1,no,"Team = { id, workspaceId, name, managerIds[], memberIds[], rolePackIds[], settings }."
TCI-ARCH-011,architecture,"§4.2, §6.12, §9, §14","RolePack entity (versioned capability bundles, per-team enablement)",Partial,XL,high,P2,no,"RolePack = { id, name, capabilityIds[], version, status: draft|active|deprecated }, enabled per team, adding role-specific capabilities on top of the universal model."
TCI-ARCH-012,architecture,§6.12,"Per-team Capability Configuration (enable caps, importance, custom labels/dimensions)",Missing,L,high,P3,no,"Per team: choose enabled universal capabilities and role packs, set capability importance weights, custom skill labels, and custom capability dimensions."
TCI-ARCH-013,architecture,§9,TeamCapabilitySnapshot entity,Conflicting,L,medium,P2,no,"A stored per-period team snapshot { teamId, periodStart/End, overallScore, capabilityScores, maturityDistribution, confidence, represented/totalMemberCount }."
TCI-ARCH-014,architecture,"§9, §4.1-4.2",CapabilityDefinition universal vs role_specific categorization,Partial,M,medium,P2,no,"CapabilityDefinition carries category 'universal'|'role_specific', scoringVersion, and evidenceTypes."
TCI-ARCH-015,architecture,§9,New team-layer entities require frozen-contract ADR + three registrations,Partial,M,medium,P0,no,"Any new org-scoped table (team_managers, per-team settings, subgroups, snapshots, role-pack mappings) must be added via the frozen-contract process."
TCI-DATA-001,data,§4.3,Per-capability score object (CapabilityScore),Partial,M,medium,P1,no,"Every capability score for a person uses one common structure: capabilityId, userId, score, level, trend, change, confidence, confidenceScore, evidenceCount, positiveSignals, limitingSignals, dataLimitations, lastCalculatedAt."
TCI-DATA-002,data,§4.3,Five-level capability ladder (inactive→expert),Conflicting,S,low,P1,no,level is one of inactive | beginner | intermediate | advanced | expert.
TCI-DATA-003,data,"§4.3, §9",Per-capability trend and change (period-over-period),Missing,L,high,P1,no,"Each capability score carries trend (improving|stable|declining|insufficient_data) and change (numeric delta), and team growth charts show capability over time."
TCI-DATA-004,data,"§4.3, §8",Confidence always shown; low/medium/high band,Partial,S,low,P2,yes,A capability score is never shown without confidence and evidence availability; confidence renders as low|medium|high (+ insufficient-data).
TCI-DATA-005,data,"§4.3, §9",Manager-visible per-person capability score,Blocked,XL,high,P0,no,"CapabilityScore.userId identifies a person and managers can view individual team-member capability profiles (§3.2, §6.4)."
TCI-DATA-006,data,§9,Team entity (Team),Partial,M,medium,P0,no,"Team = { id, workspaceId, name, managerIds[], memberIds[], rolePackIds[], settings }."
TCI-DATA-007,data,"§9, §6.12",TeamSettings persistence,Missing,L,medium,P1,no,"Per-team configuration: enabled universal capabilities, enabled role packs, capability importance, custom skill labels, visibility toggles (member aggregates, individual cost, prompt evidence, mentor recs, note privacy), concentration thresholds, benchmark config."
