id,status,evidence
TCI-PROD-001,Partial,"docs/Revealyst_Product_Spec_V4.md:64 (product = AI Growth Platform, team/exec intelligence is a by-product); :116 (P2 manager JTBD exists); src/app/(app)/dashboard/team-overview.tsx:329-342 (team surface exists but aggregate/count-only); tci.md:11-23"
TCI-PROD-002,Complete,"docs/Revealyst_Product_Spec_V4.md:48 (raw 0-100 demoted; lead with discovery not deficiency); :134 (Principle 1); the shipped capability graph + user_capability_state model capability, not raw usage; tci.md:25-27"
TCI-PROD-003,Complete,"docs/Revealyst_Product_Spec_V4.md:134-142 (discovery-first, honesty, directional needs ≥2 corroborating signals before influencing a level); the 9-capability graph binds capabilities to behavioral signals, not raw counts (drizzle/0030_capability-graph.sql:58-61); src/scoring/capability-state.ts engine"
TCI-PROD-004,Complete,"docs/Revealyst_Product_Spec_V4.md:655 (no Duolingo mechanics — streaks/XP/leagues), :660 (no XP/streaks/leagues), :638 (no per-person quality/velocity/authorship scores); founder anti-gamification sign-off recorded for missions (ADR 0037, enforced by a banned-phrasing test per CLAUDE.md); tci.md:37-41"
TCI-PROD-005,Complete,docs/Revealyst_Product_Spec_V4.md:142 (every inferred number carries a measured/modeled/directional/not_measured confidence tier); src/lib/data-confidence.ts (Data Confidence card framework); deriveAttention 'why this' line + 'Based on N connected sources' disclosure (CLAUDE.md P4); tci.md:45-57
TCI-PROD-006,Complete,"docs/Revealyst_Product_Spec_V4.md:91-93 (prompt content structurally impossible to ingest — privacy at the data layer), :635 (no prompt-content ingestion in Team mode, ever); tci.md:59-63"
TCI-PROD-007,Conflicting,"CONTRADICTS docs/Revealyst_Product_Spec_V4.md:653 ('No non-engineering role libraries in MVP or V1'), :616-618 (role expansion beyond Engineering is Future, evidence-gated — no honest telemetry source exists for non-eng tools; the only org-wide cross-role capture is a browser extension, a permanent tripwire), :72 (the wedge stays Engineering); only the 'engineering' domain is seeded (drizzle/0030_capability-graph.sql:55). tci.md:65-69, 267-409"
TCI-PROD-008,Complete,"docs/Revealyst_Product_Spec_V4.md:636-637 (no time-saved/ROI/AI-helps-hurts verdicts; expected impact stays qualitative), :678 (Spend Governance folded in as a line, not the value); Spend Governance (budgets/alerts) is a separate surface from scoring; tci.md:71-75"
TCI-PROD-009,Partial,"roles/role_assignments exist but are an engineering-capability seed, not a team-management RBAC (drizzle/0026_roles-entity.sql); visibility modes + platform admin exist (CLAUDE.md); but Revealyst's org == one team (personal = org of one) — no multi-team-within-workspace or subgroup grouping today; tci.md:2103-2107"
TCI-PROD-010,Conflicting,"CONTRADICTS docs/Revealyst_Product_Spec_V4.md:119-123 (self-view-only is 'the mechanism' that makes voluntary use possible; assertTeamOnlyPseudonymized, src/lib/visibility.ts), :641-642 ('No manager visibility into any individual recommendation, coaching content, or interaction state (code-enforced)'); user_capability_state is self-view-only (CLAUDE.md P2); team-overview.tsx:336 caps the manager to count-only, no per-person data. tci.md:651-843, 2115-2119"
TCI-PROD-011,Partial,"src/app/(app)/dashboard/team-overview.tsx (5 card sections incl. count-only capability coverage :336-342, floored segments, plateau verdict); maturity model + /maturity; src/lib/data-confidence.ts (confidence disclosures); CLAUDE.md (Team Intelligence folded ~17→5 cards); tci.md:481-649, 2129-2131"
TCI-PROD-012,Partial,"Spend Governance shipped (budgets, threshold alerts, drill-down, email alerts) — docs/Revealyst_Product_Spec_V4.md:575, :595; cost is kept separate from capability (:678); but manager-facing PER-INDIVIDUAL cost with an admin visibility toggle is not built and touches the self-view boundary; tci.md:2127, 1997"
TCI-PROD-013,Partial,"Weekly digest shipped but it is the INDIVIDUAL self-view delivery vehicle (docs/Revealyst_Product_Spec_V4.md:597; src/poller/digest.ts); monthly Executive narrative memo shipped at org level (composeExecReport, /api/exec-report — CLAUDE.md); a manager-scoped weekly TEAM brief is not built; tci.md:2133, 1503-1535"
TCI-PROD-014,Partial,Concentration/champion-dependence exists in V4 (docs/Revealyst_Product_Spec_V4.md:762) and the team surface (team-overview.tsx concentration/champion floor); within-org percentile benchmark lens exists (:596); but mentor matching + coaching campaigns require naming individuals (self-view conflict) and additional role packs conflict with TCI-PROD-007; tci.md:2135-2149
TCI-PROD-015,Complete,"Matches V4's Future ledger almost exactly: docs/Revealyst_Product_Spec_V4.md:616-628 (Outcomes demand-gated, real cross-org k-anonymous benchmarks consent-gated, forecasting/planning OTel-gated), :643 (no formula DSL / per-tenant custom scoring); tci.md:2151-2163"
