id,domain,section,title,status,effort,risk,priority,requirement,evidence
DA-CORE-001,product,§1.1,Background tray utility; web app stays the main surface,New,L,med,P1,"Desktop agent is a background utility with small tray/menu-bar UI handling enrollment, detection, extraction, privacy processing, queueing, sync, updates, health, diagnostics only; all insights/dashboards stay in the web app.","No desktop app exists; web surfaces shipped (dashboard/growth/team). Plan M1."
DA-CORE-002,product,§1.2,Analytics Only is the default data mode,Exists,S,low,P1,"Default mode uploads derived metadata and feature signals, never raw prompt/response content.","Shipped pattern: AGENT_COLLECTION_FIELDS allowlist (src/lib/agent-collection-schema.ts); only 5 field values leave the device today."
DA-CORE-003,product,§1.3,No silent raw-content enablement; Full Content is future explicit opt-in,New,S,low,P1,"Raw prompt/response upload not in MVP; later only as explicit opt-in (Deep Coaching / Full Content) with visible disclosure and separate policy controls.","Mode enum reserved in agent; only analytics_only implemented Phase 1 (plan M3); research §5.6: richer payloads need a new founder privacy analysis."
DA-CORE-004,product,§1.4,No browser inspection in Phase 1,Exists,S,low,P1,"No browser history, local storage, cookies, DOM, or traffic inspection; extensions are Phase 2 at the earliest.","Matches NOT-002 tripwire; tripwire-guard blocks webextension-polyfill + extension manifests."
DA-STACK-001,stack,§3.1,Tauri 2 + Rust core + React/TS UI + SQLite + OS credential storage,New,L,med,P1,"Tauri 2 app; Rust for trusted runtime logic; React/TS for onboarding/status/privacy/diagnostics; SQLite queue/state; OS keychain for secrets; signed Tauri updater.","No Rust/Tauri code in repo; packages/revealyst-agent (TS CLI) is the reference collector to port. Plan M1–M3."
DA-STACK-002,stack,§3.3,macOS 13+ (arm64+x64) and Windows 10 22H2+ (x64); Linux deferred,New,M,med,P1,"Signed notarized .dmg for macOS; signed .exe/.msi for Windows; no Linux distribution in Phase 1.","No signing infra or Apple/Windows certs exist (no GitHub Environments configured). Plan M6 + founder external actions."
DA-REPO-001,repo,§4,In-repo but independently released,Adapted,M,low,P1,"Desktop agent lives in the monorepo with independent version, CI, release workflow, signing credentials, staged rollout, update channel; shared contracts with backend.","Precedent: packages/revealyst-agent + release-agent.yml. Adapted layout: top-level desktop-agent/ (gap analysis C5), not the spec's apps/ split."
DA-AUTH-001,auth,§8.1,Browser OAuth Authorization Code + PKCE; no in-app password form,New,M,med,P1,"System-browser sign-in; agent never shows a password form; deep-link callback returns a one-time code; agent exchanges code for credentials.","Better Auth has no OAuth-provider/PKCE issuance plugin configured (src/lib/auth.ts); new /api/desktop/auth/start+exchange endpoints reuse the web session + mint the existing rva1 device token. Plan M2."
DA-AUTH-002,auth,§8.2,Deep-link validation,New,M,med,P1,"Validate state, nonce, code lifetime, PKCE verifier, redirect source, one-time code use on revealyst://desktop-auth/callback.","Tauri deep-link plugin (new); server-side one-time-code store (new small table). Plan M2 + security tests §26.4."
DA-AUTH-003,auth,§8.3,Tokens only in OS secure storage,New,S,low,P1,"Refresh-token-equivalent stored in macOS Keychain / Windows Credential Manager; never in frontend storage, SQLite, config files, logs, crash reports.","Client-side new (keyring crate); server storage already envelope-encrypted (src/lib/credentials.ts)."
