id,spec_section,tier,domain,requirement
VIS-001,§2,Principle,Product Architecture,"Product is individual-first Personal AI Companion; team/exec intelligence is a by-product surface, never the individual pitch"
VIS-002,§2,Baseline,Sync & Integrations,"Wedge is Engineering: connectors exist for Claude Code (local/OTel), Cursor, GitHub Copilot, plus Anthropic Console and OpenAI admin APIs"
VIS-003,§2,MVP,Notifications,"The voluntary-return bet is testable: digest delivery + return-rate instrumentation exist on the founder dogfood org"
PRIN-001,§4.1,Principle,UX / UI,"Lead with discovery, never deficiency: headline copy frames 'what you haven't tried', deficiency language only inside expandable diagnostics"
PRIN-002,§4.2,Principle,UX / UI,"For individuals the 0–100 number is demoted to an expandable diagnostic; band + narrative + next step lead; numbers stay for team/exec surfaces"
PRIN-003,§4.3,Principle,AI & Recommendation Engine,"Honesty over completeness: ratio components omitted when a side is missing; no signal → no row; directional claims need ≥2 corroborating signals; every inferred number carries a measured/modeled/directional/not_measured confidence tier"
PRIN-004,§4.4,Principle,Security,"Privacy enforced at the data layer such that individual data structurally cannot reach a manager (not a UI/policy toggle)"
PRIN-005,§4.5,Principle,Product Architecture,"One recommendation engine with tiered outputs (personal / team / exec) — never three engines"
PRIN-006,§4.6,Principle,AI & Recommendation Engine,"Content is data, logic is code: catalog grows by reviewed PRs inserting human-written rows; evaluator is a closed vocabulary of comparators; no LLM selects or generates guidance (G6)"
PRIN-007,§4.7,Principle,UX / UI,"Daily value decoupled from daily data: fresh content daily is fine; never a streak nag or same-day-score promise (recompute anchors previous UTC day)"
PRIN-008,§4.8,Principle,Documentation,"Prose is a claim surface: every product claim in copy/legal/spec fact-checked against code by a non-author reviewer before shipping"
PRIN-009,§4.9,Principle,Product Architecture,"Evolve, don't rewrite: every V4 capability specified as an extension of a named existing module wherever one exists"
WF-001,§5.1,V1-gated,Product Architecture,"A member of a multi-person Team org receives their own personal self-view (Companion) — closing the org-of-one-only branch in the dashboard; gated on the sub-case-C ADR (§9.4)"
WF-002,§5.2,MVP,UX / UI,"Onboarding inverted: companion pitch before connect step in the onboarding wizard"
WF-003,§5.2,MVP,UX / UI,"Aha moment: after first sync the Growth Journey shows maturity level (Dormant/Trial/Adopted/Embedded/Amplified) + one next step — never 'Score 74'"
WF-004,§5.2,Baseline,Notifications,"Weekly digest is the habit channel: personal-best detection (strict isNewBest), gated recommendations, staleness honesty, RFC-8058 one-click unsubscribe"
WF-005,§5.2,MVP,UX / UI,"Daily value = a single fresh nudge card drawn from the last sync — never a data-freshness requirement"
WF-006,§5.2,MVP,Notifications,"Digest and in-app Growth Journey reuse the same content assembly (deriveAttention in src/lib/score-insights.ts; digest-content.ts is a caller)"
WF-007,§5.3,Baseline,Team Management,"Manager onboarding: invite-by-link; cold-start honesty renders 'not enough data yet — invite N more' (EmptyState), never a falsely-low chart"
WF-008,§5.4,Baseline,Reporting,"Executive surface: 8 board numbers with confidence tiers, QoQ trajectory with honest notComparable, plateau detection, MATURITY_NOT_SCORED refusal list"
WF-009,§5.4,V1,Reporting,"Monthly Executive narrative one-pager (memo, not chart wall) as export and email"
TEL-001,§6.1,Frozen,Database,"metric_records natural upsert key (org_id, subject_id, metric_key, day, dim); writes are ON CONFLICT DO UPDATE; org_id in PK"
TEL-002,§6.1,Frozen,Database,"subject_day_signals: 24-slot UTC-hour histogram + peak_concurrency; NULL when vendor lacks intra-day grain (absence never fabricated)"
TEL-003,§6.1,Frozen,Database,"29 canonical metric keys across 11 families in src/contracts/metrics.ts mirrored by seeded metric_catalog table (grown from 26/10 via ADRs — agentic, markers)"
TEL-004,§6.1,Frozen,AI & Recommendation Engine,"Attribution ladder person > key_project > account; derived values inherit the LOWEST attribution of inputs (lowestAttribution)"
TEL-005,§6.1,Frozen,Sync & Integrations,"7 honesty-gap kinds are first-class connector output collected in connector_runs.gaps and surfaced in-product"
TEL-006,§6.1,Frozen,Database,"Identity: subjects ↔ people via identities; auto-resolution only for person-kind subjects with unambiguous email; else manual /reconcile"
TEL-007,§6.1,Frozen,Billing & Entitlements,"tracked_user = identity-resolved person with ≥1 metric_record in period; unresolved subjects surfaced, never billed"
TEL-008,§6.2,V1,Sync & Integrations,"Three data channels: vendor API connectors (team/billable), Claude Code Manual Sync (individual-plan users), and a Claude Code OTel receiver (measured accept/reject + active time)"
TEL-009,§6.3,MVP,Sync & Integrations,"Wire remaining polled-but-unused vendor fields into metric_records (zero new privacy surface)"
TEL-010,§6.3,V1,Sync & Integrations,"Acceptance patterns: keep native Cursor/Copilot fields; NEVER label a local-log proxy as 'accept rate'; true accept/reject arrives only via OTel"
TEL-011,§6.3,MVP,AI & Recommendation Engine,"Workflow diversity (feature_used dim breadth) promoted to a first-class signal"
TEL-012,§6.3,V1,Sync & Integrations,"Context-usage signal (context_window etc.) OTel-gated, directional, subject to the ≥2-signal rule before driving a rec"
TEL-013,§6.3,Future,Sync & Integrations,"Planning-behaviour signal: no honest source today; Future, OTel-gated (must NOT exist yet)"
TEL-014,§6.3,Future,Sync & Integrations,"Conversation-structure signal: Future, needs §16 design answer first (must NOT exist beyond session-shape stats)"
