id,spec_section,tier,domain,status,evidence
VIS-001,"§2","Principle","Product Architecture","Implemented","src/db/org-scope.ts:74 ensureOrgOfOne makes kind='personal' the default org (org-of-one); src/app/onboarding/page.tsx:22 renders OnboardingCompanionPitch BEFORE the connect wizard (companion is the pitch); src/app/(app)/dashboard/page.tsx:266-274 PersonalSelfView is the individual surface; team/exec (TeamOverview page:1080, exec-report.ts) are read-lenses over the same score/catalog outputs, not a separate pitch."
VIS-002,"§2","Baseline","Sync & Integrations","Implemented","src/connectors/index.ts:5-13 (anthropic/openai/cursor/copilot registered); src/lib/agent-ingest.ts (Claude Code local); src/lib/otel-receiver.ts + src/app/v1/metrics/route.ts (Claude Code OTel); connectors cover Anthropic Console (src/connectors/anthropic/normalize.ts) and OpenAI admin API (src/connectors/openai/normalize.ts). Copilot exists but is founder-gated off live connect via src/lib/vendor-connect-meta.ts:91."
VIS-003,"§2","MVP","Notifications","Implemented","src/poller/digest.ts:101 runWeeklyDigest (delivery); src/worker.ts:121-131 digest_return + companion_revisit edge events; src/lib/launch-events.ts:89 digestReturnDim; src/lib/digest-email.ts:43 appendDigestUtm tags CTA with src=digest&wk. Fleet-wide instrumentation (superset of the founder dogfood org)."
PRIN-001,"§4.1","Principle","UX / UI","Implemented","src/lib/companion-glossary.ts:40-70 (GROWTH_JOURNEY_COPY positive leads: ""You're at""), :102-117 (COACHING_COPY.subtitle ""Never a verdict on you — always something to try with the tools""); grep of headline strings shows no deficiency language (""you're behind/low/weak/failing"") in any title/headline — the sole ""measuring low"" phrase is a coaching subtitle, framed positively."
PRIN-002,"§4.2","Principle","UX / UI","Implemented","src/app/(app)/dashboard/page.tsx:778-786 GrowthJourneyCard leads with level; :842-848 wraps the three raw 0–100 ScoreCards in <DiagnosticDetails> (default-collapsed). src/components/companion/growth-journey-card.tsx:45-69 renders level name + tagline + next step, no numeric score. Team/exec surfaces keep numbers direct (dashboard.tsx:1130-1133)."
PRIN-003,"§4.3","Principle","AI & Recommendation Engine","Implemented","src/scoring/evaluate.ts:119-121 (ratio omitted when a side has zero rows), :154-156 (nothing consumed → null, no row); src/scoring/capability-state.ts:154,164 (no/decayed evidence → no row), :185-194 (directional capped unless ≥2 OTel markers → measured); src/lib/capability-glossary.ts:37 (directional never becomes the headline band until measured); src/db/schema.ts:1569 confidenceTier enum measured/modeled/directional/not_measured."
PRIN-004,"§4.4","Principle","Security","Implemented","src/lib/visibility.ts:168 (assertTeamOnlyPseudonymized throws on identity leak) + :23 (toPersonRef nulls name in private) + src/db/schema.ts:97 (visibilityMode default 'private'); self-view tables never read on team surface (src/lib/dashboard-view.ts / api-impl.ts touch none of user_capability_state/rec_interaction_state/recommendation_exposure); interaction route caller-bound src/app/api/recommendations/interaction/route.ts:42"
PRIN-005,"§4.5","Principle","Product Architecture","Implemented","Single engine src/lib/score-insights.ts:661 deriveAttention; consumed by personal dashboard/page.tsx:603, team dashboard/page.tsx:1080, and digest src/lib/digest-content.ts:231 — same function, same catalog (scope.catalog.list()); exec reuses composeNarrative (src/lib/exec-report.ts:369). No second/parallel recommendation evaluator found (grep for evaluateCatalog/selectRecommend/deriveTraining returns none)."
PRIN-006,"§4.6","Principle","AI & Recommendation Engine","Implemented","src/lib/recommendation-catalog.ts:74-97 (closed comparator vocab, zod-validated), :16-17 central guidance suffix; drizzle/0029_recommendation-catalog.sql:32-... (7 human-written rows seeded, versioned, immutable-per-version); no LLM SDK in package.json; grep for anthropic/openai SDK/messages.create in src returns only vendor connectors + 'zero LLM' comments."
PRIN-007,"§4.7","Principle","UX / UI","Implemented","src/poller/run.ts:136 recompute anchors previousDay(today); src/lib/companion-glossary.ts:165-220 buildDailyNudge returns null when nothing fresh (no nag); src/lib/milestones.ts:28-31 no-streak decision recorded; grep confirms no streak/XP/league/hearts anywhere except NOT-list comments."
PRIN-008,"§4.8","Principle","Documentation","Implemented",".claude/agents/adversarial-reviewer.md:1-5 (non-author refute-mode reviewer, rule 4); .claude/workflows/gate-review.js; the KMS overclaim is corrected + fenced in src/lib/credentials.ts:4, docs/legal/dpa.md:56-57, docs/legal/README.md:39-40; src/app/legal/what-we-collect/page.tsx:8-15 generated from the allowlist so copy cannot drift; no live 'KMS' claim in any src/ or docs/legal copy."
PRIN-009,"§4.9","Principle","Product Architecture","Implemented","V4 capabilities are extensions of named modules: recommendation_catalog replaces the retired static map inside the same deriveAttention (score-insights.ts:698-707); capability-state is a parallel reducer in the existing poller step (src/poller/process.ts:105-115 recomputeCapabilityState, 'never touches the frozen score engine'); exec memo wraps composeNarrative (exec-report.ts:11-16,369); OTel receiver reuses the agent device-token scheme (src/lib/otel-receiver.ts:3,45 parseAgentToken); new tables added as isolated org-scope factories (src/db/org-scope/*)."
WF-001,"§5.1","V1-gated","Product Architecture","Blocked","src/app/(app)/dashboard/page.tsx:266 still branches `if (ctx.org.kind === 'personal')` → PersonalSelfView else TeamOverview (page:274); a multi-person Team-org member gets the aggregate view, not a Companion. Gate: no sub-case-C ADR exists in docs/decisions/ (latest 0039; none covers companion-in-team-orgs or dual-source dedup); CLAUDE.md confirms W6-A still gated on the §14 ~6-week dogfood."
WF-002,"§5.2","MVP","UX / UI","Implemented","src/app/onboarding/page.tsx:22-23 renders <OnboardingCompanionPitch/> before <OnboardingWizard/>; src/components/onboarding-companion-pitch.tsx:20-48 renders ONBOARDING_PITCH_COPY (companion pitch + privacy points) ahead of the connect cards."
WF-003,"§5.2","MVP","UX / UI","Implemented","src/app/(app)/dashboard/page.tsx:778-786 GrowthJourneyCard(level, nextStep) is the post-sync headline; src/components/companion/growth-journey-card.tsx renders maturity level name (from maturity-glossary) + single next step, never a raw ""Score 74"" (number demoted behind DiagnosticDetails); honest forming/stale states via companionLevelCopy. Note: FIRST_SYNC_AHA_COPY (companion-glossary.ts:232) is defined but unused — see extra_gaps."
WF-004,"§5.2","Baseline","Notifications","Implemented","Strict personal-best src/lib/digest-content.ts:162-169 (priorBest, > not >=); gated recs via deriveAttention src/lib/digest-content.ts:231; staleness honesty digestFreshness :125 + whole-send suppression :246; RFC-8058 digestListUnsubscribeHeaders src/lib/digest-email.ts:264 (List-Unsubscribe + List-Unsubscribe-Post) with GET-read-only/POST-mutator route src/app/api/digest/unsubscribe/route.ts:53,84. All four elements present."
WF-005,"§5.2","MVP","UX / UI","Implemented","src/components/companion/daily-nudge-card.tsx:12-13 returns null when nudge is null; src/lib/companion-glossary.ts:165-220 buildDailyNudge draws ONE fact from freshestSyncAt/agentic/spend/scores; dashboard.tsx:661-666 feeds maturity.dataAsOf (last sync), never a freshness demand — asOf rendered as ""From your sync <date>"" context only."
WF-006,"§5.2","MVP","Notifications","Implemented","Shared assembly is deriveAttention (src/lib/score-insights.ts): digest calls it via assembleDigest (digest-content.ts:231); dashboard Growth Journey calls it directly (src/app/(app)/dashboard/page.tsx:603, topNextStep :657 → GrowthJourneyCard :778). Parity test-pinned: tests/digest-content.test.ts:231 'digest & dashboard share the SAME coaching source … identical rec selection + order'. NOTE: the spec names src/lib/digest-content.ts as the shared module, but the dashboard does NOT import digest-content.ts — the true shared content-assembly is deriveAttention, which digest-content.ts merely wraps. Functionally the requirement (no divergence between surfaces) is fully met and enforced; the file citation in the spec is imprecise, not a behavioral gap."
WF-007,"§5.3","Baseline","Team Management","Implemented","src/app/invite/[token]/page.tsx (invite-by-link); dashboard/page.tsx:1264-1277 team EmptyState 'No scores yet' (never a falsely-low chart); team-overview-copy.ts:37 championsCold 'invite more of the team'; usage-distribution-panel.tsx:44 honest empty below MIN_PEOPLE_FOR_DISTRIBUTION; segments.ts:70 floor. Cold-start honesty + invite-by-link both present."
WF-008,"§5.4","Baseline","Reporting","Implemented","exec-report.ts:225-344 sections() emits 8 board numbers each with confidence+confidenceLabel; trajectoryLine() ln 142-159 has first-class notComparableInsufficient/notComparablePartial states; plateauLine() ln 162-168; MATURITY_NOT_SCORED (maturity-glossary.ts:220) carried as notMeasured; /maturity page renders MaturityReport. All four spec elements present."
WF-009,"§5.4","V1","Reporting","Implemented","exec-report.ts composeExecReport/readExecReport (pure memo, no LLM); on-demand export src/app/api/exec-report/route.ts (admin-only, 402-gated, HTML one-pager); monthly email src/poller/exec-report.ts runMonthlyExecReport wired via worker.ts:265 → messages.ts:98 (exec-report-monthly) → process.ts:146-160; cron '0 16 1 * *' (wrangler.jsonc:77); org-level month CAS. Same readExecReport path feeds both export and email (byte-identical)."
TEL-001,"§6.1","Frozen","Database","Implemented","src/db/schema.ts:514-516 primaryKey [orgId, subjectId, metricKey, day, dim]; src/db/org-scope/metrics.ts:68-84 onConflictDoUpdate on that exact target set (value/attribution/connectionId/sourceConnector). org_id is part of the PK so a cross-org conflict is a different key by construction."
TEL-002,"§6.1","Frozen","Database","Implemented","src/db/schema.ts:535-562 subject_day_signals: hours smallint().array(), peakConcurrency smallint (nullable), sourceGranularity enum includes 'none', CHECK subject_day_signals_hours_24 (hours IS NULL OR cardinality=24). Input schema src/contracts/metrics.ts:151 hours .length(24).nullable() — absence expressed as NULL, never zero-filled."
TEL-003,"§6.1","Frozen","Database","Implemented","src/contracts/metrics.ts:53-97 CANONICAL_METRICS mirrored by drizzle/0007 seed + additively by 0022/0034; tests/contracts.test.ts:41-49 asserts keys/families/units/dimKinds match the seed exactly. Mechanism (frozen, ADR-gated, seed-mirrored) is intact. NOTE the spec prose '26 keys across 10 families' is STALE: code now has 29 keys / 11 families after sanctioned additive ADRs (agentic family ADR 0022; markers family ADR 0039 adding otel_active_time/otel_edit_accepted/otel_edit_rejected)."
TEL-004,"§6.1","Frozen","AI & Recommendation Engine","Implemented","src/contracts/attribution.ts:25-34 lowestAttribution over the person>key_project>account ladder; src/scoring/evaluate.ts:135-138,164 accumulates consumed attributions and stamps the result with lowestAttribution."
TEL-005,"§6.1","Frozen","Sync & Integrations","Implemented","src/contracts/connector.ts:24-34 defines exactly 7 HonestyGap kinds (oauth_actors_missing, telemetry_only_users_in_totals, shared_key_not_person_level, service_accounts_unresolved, sub_daily_unavailable, sync_window_incomplete, other); persisted at src/db/schema.ts:760 connector_runs.gaps jsonb; written in src/poller/run.ts:446 (dedupeGaps) and src/lib/agent-ingest.ts:231; collected by src/lib/honesty-gaps.ts collectGaps and surfaced in self-view + team dashboard (honesty-gaps.ts:1-8 header) and src/lib/data-confidence.ts."
TEL-006,"§6.1","Frozen","Database","Implemented","src/db/schema.ts:376-407 identities (subject↔person M:N, method enum email_match|manual|vendor_asserted, composite tenant FKs). Auto-resolution pure engine src/lib/identity/resolve.ts:78-92: ONLY kind='person' subjects with non-empty email auto-link; email matching >1 person → ambiguousSubjectIds (human decides); already-touched subjects excluded; applied via src/lib/identity/apply.ts:47. Manual path: src/app/api/reconcile/route.ts + /reconcile page."
TEL-007,"§6.1","Frozen","Billing & Entitlements","Implemented","src/contracts/tracked-user.ts:37-74 (pure countTrackedUsers: person needs an identity row AND an active subject-day in P; unresolved subjects collected into unresolvedSubjectIds, never into trackedPersonIds); src/db/org-scope/billing.ts:17-47 (SQL twin feeds distinct (subject,day) metric_records + identities to the same pure counter); src/contracts/tracked-user.ts:1-22 (frozen-primitive header states the exact definition, matches Spec V4 §6.1)."
TEL-008,"§6.2","V1","Sync & Integrations","Implemented","Channel 1 vendor connectors: src/poller/run.ts + src/connectors/*/normalize.ts (team/billable via tracked_user). Channel 2 Manual Sync: src/lib/agent-ingest.ts + packages/revealyst-agent (individual). Channel 3 OTel receiver: src/lib/otel-receiver.ts measured accept/reject (otel_edit_accepted/rejected) + active time (otel_active_time) per src/contracts/metrics.ts:94-96. All three land in metric_records."
TEL-009,"§6.3","MVP","Sync & Integrations","Implemented","W5-E harvest wired: Cursor isHeadless→feature=headless (src/connectors/cursor/normalize.ts:227), tokens/spend/model from events; Copilot CLI tokens/sessions + agentic (src/connectors/copilot/normalize.ts:114-143); Anthropic web_search/code_execution feature flags (src/connectors/anthropic/normalize.ts:120-186); OpenAI web_search/code_interpreter (src/connectors/openai/normalize.ts:167-214). Remaining unwired fields carry explicit inline skip justifications (double-count / no-honest-home, ADR-gated) pinned by connector tests — deliberate, not unfinished."
TEL-010,"§6.3","V1","Sync & Integrations","Implemented","Cursor native totalAccepts/totalRejects→edit_actions_accepted/rejected and tab funnel suggestions_offered/accepted (src/connectors/cursor/normalize.ts:92-95); Copilot native code_generation/code_acceptance_activity_count→suggestions_offered/accepted (src/connectors/copilot/normalize.ts:82-83); local agent emits NO acceptance metric (packages/revealyst-agent/src/summarize.ts:173-182 flat list has no accept/reject key); true accept/reject only via OTel markers (src/lib/otel-ingest.ts:67-74, src/contracts/metrics.ts:90-96)."
TEL-011,"§6.3","MVP","AI & Recommendation Engine","Implemented","drizzle/0030_capability-graph.sql:59 dedicated capability 'feature-breadth' ('Use a range of AI features'), :71-73 bound to component keys tool_coverage/breadth AND directly to metric_key feature_used, :104-105 recs target it; src/lib/score-insights.ts:378,388-402 featureBreadthFromRows promotes the distinct-workflow count to a milestone/first-class signal."
TEL-012,"§6.3","V1","Sync & Integrations","Missing","No context_window/context-usage metric key or signal anywhere: absent from src/contracts/metrics.ts CANONICAL_METRICS (53-97), from all connector normalize files, and from capability_signals seed (drizzle/0030_capability-graph.sql binds only active_day/agent_*/commits/feature_used/lines_*/model_*/sessions/spend/suggestions). Anthropic usage report exposes context_window as a group_by (connector-facts §3) but it is never harvested (grep for context_window in src/connectors/*/types.ts returns nothing)."
TEL-013,"§6.3","Future","Sync & Integrations","Implemented","Correct absence verified: grep for planning/plan_mode/planMode/planning_behav in src/contracts, src/scoring, src/db/schema.ts, capability engine returns nothing (excluding unrelated 'execution plan' prose). No planning-behaviour signal exists — matches the Future/must-NOT-exist requirement."
TEL-014,"§6.3","Future","Sync & Integrations","Implemented","Correct absence verified: grep for conversation.structure/conversationStructure/conversation_shape/turn_structure/session.shape across src/ returns nothing. Only session-shape stats permitted by the requirement exist — subject_day_signals 24-hour histogram + peak_concurrency (src/db/schema.ts subject_day_signals; populated in cursor/anthropic/agent normalize). No conversation-structure signal beyond that."
TEL-015,"§6.3","Frozen","Sync & Integrations","Implemented","Deliberate drops documented and test-pinned without new ADR: Copilot ai_adoption_phase skip (src/connectors/copilot/normalize.ts:172-186, 'tests/connector-copilot.test.ts pins that no phase dim is ever emitted'); Cursor acceptedLinesAdded/Deleted + totalApplies + plan-mix (subscriptionIncludedReqs/apiKeyReqs/usageBasedReqs) skips (src/connectors/cursor/normalize.ts:100-131, 'tests/connector-cursor.test.ts pins these skips'). All justified against double-count/breadth-inflation, kept dropped."
TEL-016,"§6.4","MVP","Data Confidence","Partially Implemented","src/lib/signal-coverage.ts:69-124 computes per-person sourceCount; src/app/(app)/dashboard/page.tsx:1001-1011 team CoverageAggregate (single-source count, aggregate-only); :631 self-view coverageSourceCount→confidence note; src/lib/score-insights.ts:970-974 'Based on N connected sources'. But src/components/signal-coverage-badge.tsx is dead code — grep shows it is never rendered (only its own def + test)."
TEL-017,"§6.4","Kill","Sync & Integrations","Implemented","Kills respected. No 'true accept/reject' from local proxies: packages/revealyst-agent/src/summarize.ts emits no acceptance keys; only OTel emits otel_edit_accepted/rejected (src/lib/otel-ingest.ts:67-74). No resident collector: grep for daemon/resident/always-on/setInterval/watch/cron in packages/revealyst-agent/src returns nothing (CLI is invoked per-sync). No 'time saved' telemetry category: grep for time_saved/hours_saved returns only refusal copy (methodology/page.tsx:224, exec-report-copy.ts:214, maturity-glossary.ts:228 'ROI and time saved' as an explicit NOT-scored refusal, not a metric)."
ENT-001,"§6.4","V1","Database","Implemented","src/db/schema.ts:1128-1183 roles (global ref, slug PK) + role_assignments (org-scoped, PK org_id/person_id, composite tenant FK cascade, role_slug FK roles.slug). drizzle/0026 seeds engineering-only slugs (backend/frontend/fullstack/mobile/platform/data/ml/sre). ADR 0030. recommendation_catalog.applicable_roles validated against roles.slug — roles ship before role-specific content consumes them."
ENT-002,"§6.4","V1","Database","Implemented","src/db/schema.ts:1286-1416 recommendation_catalog: seeded versioned reference table (org_id nullable = global preset, NULLS NOT DISTINCT unique on org_id/slug/version), §8.2 metadata columns (benefit/difficulty/confidence/signalGroup/insightKind/suggestedActionType with DB CHECK guards + requiredSignals jsonb closed vocabulary). drizzle/0029 seeds the 7 static recs VERBATIM. ADR 0033. Purged in account-deletion.ts:95 (org-authored rows only)."
ENT-003,"§6.4","MVP","Database","Implemented","src/db/schema.ts:1035-1073 rec_interaction_state (PK org_id/person_id/rec_id, enum snoozed|dismissed|tried, snooze_until, composite tenant FK cascade). Self-view enforced at src/app/api/recommendations/interaction/route.ts:43 (person.authUserId !== ctx.user.id → 403); NO read route exists (managers cannot read). ADR 0028. Purged before people (account-deletion.ts:56-64)."
ENT-004,"§6.4","Future","Database","Implemented","No 'outcomes' pgTable in src/db/schema.ts and no outcomes table in any drizzle/*.sql (grep clean); only prose mentions 'Outcomes-loop forerunner' (schema.ts:62,1022) and 'outcome-named ability' (1438). Entity correctly ABSENT — stays Future/demand-gated, does not ship hollow."
ENT-005,"§6.4","V1","Database","Implemented","src/db/schema.ts:1704-1745 recommendation_exposure: org-scoped, unique dedupe (org/person/rec/surface/shownAt) = idempotent per day, composite tenant FK cascade, experimentKey/variant columns. No API route (grep of src/app/api/ for 'exposure' empty); src/db/org-scope/exposures.ts list() is server-side-only, log() ON CONFLICT DO NOTHING, forUser() self-view. Deterministic assignment src/lib/experiments.ts:23 EXPERIMENTS=[] (empty registry) + stable-hash assignVariant. Purged before people (account-deletion.ts:78). ADR 0038."
ENT-006,"§6.4","V1","Database","Implemented","src/db/schema.ts:1428-1533 domains/capabilities/capability_signals/capability_dependencies = global reference (no org_id), seeded in drizzle/0030. 9 outcome-named capabilities seeded (ai-coding-foundations/feature-breadth/consistent-daily-use/effective-prompting/agentic-delivery/cost-efficient-usage/ship-with-ai/code-review-with-ai/model-selection). capability_signals CHECK binds exactly one of metric_key/component_key (already-ingested signals only); capability_dependencies = shallow DAG (no-self-edge CHECK, acyclicity in seed test). Relational, not a graph DB. recommendation_catalog.target_capabilities additive array column (schema.ts:1361) links recs. ADR 0035."
